High0,Close0,Open0,Low0,Volume0,QuoteAssetVolume0,TakerBuyBaseAssetVolume0,TakerBuyQuoteAssetVolume0,TradeNum0,OpenTime0,CloseTime0,prof0,sym0,High1,Close1,Open1,Low1,Volume1,QuoteAssetVolume1,TakerBuyBaseAssetVolume1,TakerBuyQuoteAssetVolume1,TradeNum1,OpenTime1,CloseTime1,prof1,sym1,High2,Close2,Open2,Low2,Volume2,QuoteAssetVolume2,TakerBuyBaseAssetVolume2,TakerBuyQuoteAssetVolume2,TradeNum2,OpenTime2,CloseTime2,prof2,sym2,High3,Close3,Open3,Low3,Volume3,QuoteAssetVolume3,TakerBuyBaseAssetVolume3,TakerBuyQuoteAssetVolume3,TradeNum3,OpenTime3,CloseTime3,prof3,sym3,High4,Close4,Open4,Low4,Volume4,QuoteAssetVolume4,TakerBuyBaseAssetVolume4,TakerBuyQuoteAssetVolume4,TradeNum4,OpenTime4,CloseTime4,prof4,sym4
16968.51000000,16953.54000000,16967.26000000,16945.75000000,651.72589000,11051213.52463480,256.63140000,4351814.55741780,14249,1670119200000,1670119499999,0,BTCUSDT,16958.20000000,16955.70000000,16954.05000000,16945.61000000,383.33130000,6498102.69494910,184.30043000,3124222.34083740,10956,1670119500000,1670119799999,0,BTCUSDT,16961.36000000,16957.65000000,16956.30000000,16953.25000000,278.44914000,4721708.22977660,144.99675000,2458789.57078880,8366,1670119800000,1670120099999,0,BTCUSDT,16966.50000000,16963.07000000,16958.09000000,16955.86000000,361.80584000,6136551.70257960,200.87094000,3406964.80125140,9845,1670120100000,1670120399999,0,BTCUSDT,16984.15000000,16981.30000000,16963.07000000,16962.55000000,631.19303000,10713269.80896750,362.79566000,6157802.04571820,14398,1670120400000,1670120699999,0,BTCUSDT
16958.20000000,16955.70000000,16954.05000000,16945.61000000,383.33130000,6498102.69494910,184.30043000,3124222.34083740,10956,1670119500000,1670119799999,0,BTCUSDT,16961.36000000,16957.65000000,16956.30000000,16953.25000000,278.44914000,4721708.22977660,144.99675000,2458789.57078880,8366,1670119800000,1670120099999,0,BTCUSDT,16966.50000000,16963.07000000,16958.09000000,16955.86000000,361.80584000,6136551.70257960,200.87094000,3406964.80125140,9845,1670120100000,1670120399999,0,BTCUSDT,16984.15000000,16981.30000000,16963.07000000,16962.55000000,631.19303000,10713269.80896750,362.79566000,6157802.04571820,14398,1670120400000,1670120699999,0,BTCUSDT,16983.33000000,16972.02000000,16981.49000000,16970.00000000,553.79044000,9402152.42561970,255.38265000,4336032.91979140,12815,1670120700000,1670120999999,0,BTCUSDT
16961.36000000,16957.65000000,16956.30000000,16953.25000000,278.44914000,4721708.22977660,144.99675000,2458789.57078880,8366,1670119800000,1670120099999,0,BTCUSDT,16966.50000000,16963.07000000,16958.09000000,16955.86000000,361.80584000,6136551.70257960,200.87094000,3406964.80125140,9845,1670120100000,1670120399999,0,BTCUSDT,16984.15000000,16981.30000000,16963.07000000,16962.55000000,631.19303000,10713269.80896750,362.79566000,6157802.04571820,14398,1670120400000,1670120699999,0,BTCUSDT,16983.33000000,16972.02000000,16981.49000000,16970.00000000,553.79044000,9402152.42561970,255.38265000,4336032.91979140,12815,1670120700000,1670120999999,0,BTCUSDT,16981.87000000,16981.00000000,16971.88000000,16967.85000000,332.37462000,5641773.04974280,185.69739000,3152118.63957470,10749,1670121000000,1670121299999,0,BTCUSDT
16966.50000000,16963.07000000,16958.09000000,16955.86000000,361.80584000,6136551.70257960,200.87094000,3406964.80125140,9845,1670120100000,1670120399999,0,BTCUSDT,16984.15000000,16981.30000000,16963.07000000,16962.55000000,631.19303000,10713269.80896750,362.79566000,6157802.04571820,14398,1670120400000,1670120699999,0,BTCUSDT,16983.33000000,16972.02000000,16981.49000000,16970.00000000,553.79044000,9402152.42561970,255.38265000,4336032.91979140,12815,1670120700000,1670120999999,0,BTCUSDT,16981.87000000,16981.00000000,16971.88000000,16967.85000000,332.37462000,5641773.04974280,185.69739000,3152118.63957470,10749,1670121000000,1670121299999,0,BTCUSDT,16986.85000000,16972.81000000,16981.00000000,16970.15000000,485.82337000,8249208.34067440,234.98977000,3990207.95254750,12628,1670121300000,1670121599999,0,BTCUSDT
16984.15000000,16981.30000000,16963.07000000,16962.55000000,631.19303000,10713269.80896750,362.79566000,6157802.04571820,14398,1670120400000,1670120699999,0,BTCUSDT,16983.33000000,16972.02000000,16981.49000000,16970.00000000,553.79044000,9402152.42561970,255.38265000,4336032.91979140,12815,1670120700000,1670120999999,0,BTCUSDT,16981.87000000,16981.00000000,16971.88000000,16967.85000000,332.37462000,5641773.04974280,185.69739000,3152118.63957470,10749,1670121000000,1670121299999,0,BTCUSDT,16986.85000000,16972.81000000,16981.00000000,16970.15000000,485.82337000,8249208.34067440,234.98977000,3990207.95254750,12628,1670121300000,1670121599999,0,BTCUSDT,16980.44000000,16977.13000000,16972.81000000,16971.85000000,271.98007000,4617151.99509660,136.46985000,2316742.78916320,8885,1670121600000,1670121899999,0,BTCUSDT
16983.33000000,16972.02000000,16981.49000000,16970.00000000,553.79044000,9402152.42561970,255.38265000,4336032.91979140,12815,1670120700000,1670120999999,0,BTCUSDT,16981.87000000,16981.00000000,16971.88000000,16967.85000000,332.37462000,5641773.04974280,185.69739000,3152118.63957470,10749,1670121000000,1670121299999,0,BTCUSDT,16986.85000000,16972.81000000,16981.00000000,16970.15000000,485.82337000,8249208.34067440,234.98977000,3990207.95254750,12628,1670121300000,1670121599999,0,BTCUSDT,16980.44000000,16977.13000000,16972.81000000,16971.85000000,271.98007000,4617151.99509660,136.46985000,2316742.78916320,8885,1670121600000,1670121899999,0,BTCUSDT,16978.80000000,16974.25000000,16977.13000000,16967.96000000,268.34193000,4555037.37920180,128.37179000,2179115.28052570,8630,1670121900000,1670122199999,0,BTCUSDT
16981.87000000,16981.00000000,16971.88000000,16967.85000000,332.37462000,5641773.04974280,185.69739000,3152118.63957470,10749,1670121000000,1670121299999,0,BTCUSDT,16986.85000000,16972.81000000,16981.00000000,16970.15000000,485.82337000,8249208.34067440,234.98977000,3990207.95254750,12628,1670121300000,1670121599999,0,BTCUSDT,16980.44000000,16977.13000000,16972.81000000,16971.85000000,271.98007000,4617151.99509660,136.46985000,2316742.78916320,8885,1670121600000,1670121899999,0,BTCUSDT,16978.80000000,16974.25000000,16977.13000000,16967.96000000,268.34193000,4555037.37920180,128.37179000,2179115.28052570,8630,1670121900000,1670122199999,0,BTCUSDT,16976.13000000,16967.04000000,16973.77000000,16964.46000000,301.16624000,5110850.55245990,132.05298000,2240936.54412510,8455,1670122200000,1670122499999,0,BTCUSDT
16986.85000000,16972.81000000,16981.00000000,16970.15000000,485.82337000,8249208.34067440,234.98977000,3990207.95254750,12628,1670121300000,1670121599999,0,BTCUSDT,16980.44000000,16977.13000000,16972.81000000,16971.85000000,271.98007000,4617151.99509660,136.46985000,2316742.78916320,8885,1670121600000,1670121899999,0,BTCUSDT,16978.80000000,16974.25000000,16977.13000000,16967.96000000,268.34193000,4555037.37920180,128.37179000,2179115.28052570,8630,1670121900000,1670122199999,0,BTCUSDT,16976.13000000,16967.04000000,16973.77000000,16964.46000000,301.16624000,5110850.55245990,132.05298000,2240936.54412510,8455,1670122200000,1670122499999,0,BTCUSDT,16974.54000000,16973.96000000,16967.65000000,16966.94000000,200.48694000,3402556.14238130,121.30298000,2058710.20604290,7112,1670122500000,1670122799999,0,BTCUSDT
16980.44000000,16977.13000000,16972.81000000,16971.85000000,271.98007000,4617151.99509660,136.46985000,2316742.78916320,8885,1670121600000,1670121899999,0,BTCUSDT,16978.80000000,16974.25000000,16977.13000000,16967.96000000,268.34193000,4555037.37920180,128.37179000,2179115.28052570,8630,1670121900000,1670122199999,0,BTCUSDT,16976.13000000,16967.04000000,16973.77000000,16964.46000000,301.16624000,5110850.55245990,132.05298000,2240936.54412510,8455,1670122200000,1670122499999,0,BTCUSDT,16974.54000000,16973.96000000,16967.65000000,16966.94000000,200.48694000,3402556.14238130,121.30298000,2058710.20604290,7112,1670122500000,1670122799999,0,BTCUSDT,16979.28000000,16970.09000000,16973.70000000,16968.02000000,514.95918000,8740744.95825400,255.82966000,4342389.55165010,11909,1670122800000,1670123099999,0,BTCUSDT
16978.80000000,16974.25000000,16977.13000000,16967.96000000,268.34193000,4555037.37920180,128.37179000,2179115.28052570,8630,1670121900000,1670122199999,0,BTCUSDT,16976.13000000,16967.04000000,16973.77000000,16964.46000000,301.16624000,5110850.55245990,132.05298000,2240936.54412510,8455,1670122200000,1670122499999,0,BTCUSDT,16974.54000000,16973.96000000,16967.65000000,16966.94000000,200.48694000,3402556.14238130,121.30298000,2058710.20604290,7112,1670122500000,1670122799999,0,BTCUSDT,16979.28000000,16970.09000000,16973.70000000,16968.02000000,514.95918000,8740744.95825400,255.82966000,4342389.55165010,11909,1670122800000,1670123099999,0,BTCUSDT,16978.95000000,16973.17000000,16970.09000000,16970.09000000,245.34578000,4164738.55257420,117.84067000,2000349.53255690,7437,1670123100000,1670123399999,0,BTCUSDT
